scenario,REGION6,peak_prevalence_A,peak_prevalence_C,final_attack_rate_A,final_attack_rate_C,time_to_peak_A,time_to_peak_C,attack_rate_diff,attack_rate_ratio,peak_prevalence_ratio,time_to_peak_diff
"Full model
(all factors)",1,0.02819792111249603,0.009752506359549579,0.49616031588619675,0.24498901060510983,68,108,0.2511713052810869,2.025234987727438,2.8913512150530254,-40
"Full model
(all factors)",2,0.028437295624335748,0.00905038862397964,0.4965020063255066,0.2341473090961439,68,109,0.2623546972293627,2.1204685556374963,3.142107682424723,-41
"Full model
(all factors)",3,0.017452869746876504,0.008849515887344048,0.3967546137255248,0.23311913208603327,86,111,0.16363548163949151,1.7019393053466816,1.972183559988447,-25
"Full model
(all factors)",4,0.02642352579037388,0.014730583709163135,0.47108544060108953,0.30061630929472877,75,97,0.17046913130636077,1.5670654786039244,1.793786744101469,-22
"Full model
(all factors)",5,0.03320383811924392,0.013341334926254765,0.5277924837452543,0.28067141857571126,66,97,0.24712106516954307,1.8804639475710707,2.488794285038239,-31
"Full model
(all factors)",6,0.04714493338232043,0.022814284796172105,0.5967694369606457,0.3629027027287789,58,81,0.23386673423186677,1.6444337076394022,2.066465541371284,-23
"Household
structure only",1,0.022217394842450156,0.009635090353914987,0.4490285801837128,0.24448026238937373,76,109,0.20454831779433905,1.8366659778389933,2.305883393550394,-33
"Household
structure only",2,0.02212416180494005,0.008881440062234918,0.44868412494900134,0.23337373964630181,76,111,0.21531038530269953,1.9225990277613116,2.491055690283265,-35
"Household
structure only",3,0.014071984978109561,0.008655062888297094,0.348805789841544,0.23193876185618004,96,113,0.11686702798536394,1.5038701899160372,1.6258674442605074,-17
"Household
structure only",4,0.022291384615290233,0.014599913740536185,0.42545816171533535,0.3001192019469357,83,97,0.12533895976839965,1.4176305912960574,1.5268161861394378,-14
"Household
structure only",5,0.026752638514571856,0.013005015508214347,0.48122231272152666,0.27949117617419383,74,99,0.20173113654733282,1.7217799835712997,2.05710162342168,-25
"Household
structure only",6,0.039944240690235264,0.022472890381283403,0.5553085856279512,0.3621496447943004,64,82,0.19315894083365076,1.5333677489684252,1.7774411752349806,-18
"Null
(all equal)",1,0.009284195731445424,0.00928419573174099,0.2422267781167937,0.24222677811252297,111,111,4.270722664401205e-12,1.000000000017631,0.9999999999681647,0
"Null
(all equal)",2,0.008354988778254881,0.008354988778285666,0.22976992734479038,0.22976992734432805,114,114,4.623246230295308e-13,1.0000000000020122,0.9999999999963154,0
"Null
(all equal)",3,0.008301174998106627,0.008301174998001475,0.22893530525315295,0.22893530525505953,114,114,-1.9065860001887813e-12,0.999999999991672,1.0000000000126672,0
"Null
(all equal)",4,0.014337826064948688,0.014337826064997356,0.29872778797911254,0.29872778797876837,98,98,3.4416913763379853e-13,1.0000000000011522,0.9999999999966056,0
"Null
(all equal)",5,0.011989190559092892,0.011989190559006798,0.2740903443331446,0.27409034433405693,103,103,-9.123257704857224e-13,0.9999999999966714,1.000000000007181,0
"Null
(all equal)",6,0.021380760189428916,0.021380760189674712,0.3585154967203216,0.3585154967197813,85,85,5.403455460850637e-13,1.0000000000015072,0.9999999999885039,0
"Vaccination
disparity only",1,0.011010905979607218,0.009330005998058003,0.28124296375084645,0.2426541325380176,107,111,0.038588831212828856,1.1590281229056876,1.1801606539051621,-4
"Vaccination
disparity only",2,0.009976582770678482,0.008417576078669924,0.2681842606181095,0.2304085645714745,110,114,0.03777569604663503,1.1639509196061881,1.1852085062776052,-4
"Vaccination
disparity only",3,0.00995087170996921,0.008396737910068825,0.267583354224124,0.22991124726672,110,114,0.037672106957404,1.1638549979840724,1.185087806305919,-4
"Vaccination
disparity only",4,0.01669800848188172,0.014408912566151082,0.34042439208368114,0.2991872955185261,94,98,0.04123709656515506,1.1378303730901622,1.1588666670868766,-4
"Vaccination
disparity only",5,0.014162436746225601,0.012136403116023436,0.3153939807275962,0.2751873958638489,99,103,0.04020658486374734,1.1461062006038965,1.1669385575638334,-4
"Vaccination
disparity only",6,0.024569740182226168,0.021558764127215597,0.40172744580949293,0.359321997351322,82,85,0.04240544845817096,1.1180151751653258,1.1396636670471079,-3
