State,Abbreviation,Contig
Alabama,AL,Y
Alaska,AK,N
Arizona,AZ,Y
Arkansas,AR,Y
American Samoa,AS,N
California,CA,Y
Colorado,CO,Y
Connecticut,CT,Y
Delaware,DE,Y
District of Columbia,DC,Y
Florida,FL,Y
Georgia,GA,Y
Guam,GU,N
Hawaii,HI,N
Idaho,ID,Y
Illinois,IL,Y
Indiana,IN,Y
Iowa,IA,Y
Kansas,KS,Y
Kentucky,KY,Y
Louisiana,LA,Y
Maine,ME,Y
Maryland,MD,Y
Massachusetts,MA,Y
Michigan,MI,Y
Minnesota,MN,Y
Mississippi,MS,Y
Missouri,MO,Y
Montana,MT,Y
Nebraska,NE,Y
Nevada,NV,Y
New Hampshire,NH,Y
New Jersey,NJ,Y
New Mexico,NM,Y
New York,NY,Y
North Carolina,NC,Y
North Dakota,ND,Y
Northern Mariana Islands,MP,N
Ohio,OH,Y
Oklahoma,OK,Y
Oregon,OR,Y
Pennsylvania,PA,Y
Puerto Rico,PR,N
Rhode Island,RI,Y
South Carolina,SC,Y
South Dakota,SD,Y
Tennessee,TN,Y
Texas,TX,Y
Trust Territories,TT,N
Utah,UT,Y
Vermont,VT,Y
Virginia,VA,Y
Virgin Islands,VI,N
Washington,WA,Y
West Virginia,WV,Y
Wisconsin,WI,Y
Wyoming,WY,Y
